date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:37	1530/1530	---M--	200	added ('OK')	image/png	etag:%225f28f8e7-5fa%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/faq4.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/faq4.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:37	7449/7449	---M--	200	added ('OK')	image/png	etag:%225f28f8e9-21a7%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/review.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/review.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:38	105257/105257	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8e7-1ac8e%22	https://templates.hibootstrap.com/pento/default/assets/img/home-three/faq.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-three/faq.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:38	106138/106138	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d1-1b532%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/blog1.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/blog1.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:38	2102/2102	---M--	200	added ('OK')	image/png	etag:%225f28f8d1-cf7%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/blog1.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/blog1.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:38	2158/2158	---M--	200	added ('OK')	image/png	etag:%225f28f8d1-cb5%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/blog2.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/blog2.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:39	116090/116090	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d1-1dd55%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/blog2.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/blog2.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:39	91968/91968	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d1-17957%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/blog3.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/blog3.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:39	2216/2216	---M--	200	added ('OK')	image/png	etag:%225f28f8d1-c85%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/blog3.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/blog3.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:39	1105/1105	---M--	200	added ('OK')	image/png	etag:%225f28f8b1-8a6%22	https://templates.hibootstrap.com/pento/default/assets/img/logo-two.png	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/logo-two.png	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:39	1860/1860	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d9-3211%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/visa.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/visa.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
10:20:40	2459/2459	---M--	200	added ('OK')	image/jpeg	etag:%225f28f8d4-352d%22	https://templates.hibootstrap.com/pento/default/assets/img/home-one/master-card.jpg	C:/Users/Ajay/Desktop/Newprojecttemp/templates.hibootstrap.com/pento/default/assets/img/home-one/master-card.jpg	(from https://templates.hibootstrap.com/pento/default/index-3.html)
